egid,buildingStatus,buildingCategory,buildingClass,municipalityNumber,municipalityName,canton,geometry
191538690,1004,1060,1271,3111,Oberegg,AI,POINT (2762977.481 1255855.827)
191538691,1004,1060,1271,3111,Oberegg,AI,POINT (2762516.854 1255676.909)
191538692,1004,1060,1271,3111,Oberegg,AI,POINT (2761069.662 1255130.8)
191538693,1004,1080,1252,3111,Oberegg,AI,POINT (2762201.202 1254786.938)
191538694,1004,1060,1271,3111,Oberegg,AI,POINT (2757637.519 1254050.771)
191538695,1004,1060,1252,3111,Oberegg,AI,POINT (2758842.174 1254890.41)
191538696,1007,1060,1252,3111,Oberegg,AI,POINT (2762224.344 1255044.607)
191538697,1004,1060,1252,3111,Oberegg,AI,POINT (2763772.149 1255948.841)
191538698,1004,1060,1252,3111,Oberegg,AI,POINT (2761175.124 1255494.836)
191538699,1004,1060,1252,3111,Oberegg,AI,POINT (2758803.415 1254150.473)
191538700,1004,1060,1252,3111,Oberegg,AI,POINT (2758004.811 1253130.345)
191538701,1004,1060,1252,3111,Oberegg,AI,POINT (2762754.473 1255559.453)
191538702,1004,1080,1252,3111,Oberegg,AI,POINT (2762226.503 1255041.924)
191538703,1004,1060,1252,3111,Oberegg,AI,POINT (2758051.807 1254479.501)
191538705,1004,1060,1274,3111,Oberegg,AI,POINT (2758914.026 1253959.801)
191538706,1004,1060,1271,3111,Oberegg,AI,POINT (2761246.507 1253840.911)
191538708,1004,1060,1271,3111,Oberegg,AI,POINT (2758765.639 1255427.737)
191538709,1004,1060,1271,3111,Oberegg,AI,POINT (2758511.024 1254840.445)
191538710,1004,1060,1274,3111,Oberegg,AI,POINT (2758909.38 1254595.377)
191538711,1004,1060,1274,3111,Oberegg,AI,POINT (2758989.42 1254333.756)
191538712,1004,1060,1271,3111,Oberegg,AI,POINT (2757866.8 1254625.627)
191538713,1004,1060,1271,3111,Oberegg,AI,POINT (2758192.699 1254746.323)
191538714,1004,1060,1271,3111,Oberegg,AI,POINT (2758233.543 1253298.792)
191538715,1004,1060,1271,3111,Oberegg,AI,POINT (2756872.288 1252111.471)
191538716,1004,1060,1271,3111,Oberegg,AI,POINT (2759478.236 1251499.286)
191538717,1004,1060,1242,3111,Oberegg,AI,POINT (2759436.831 1251419.194)
191538719,1004,1060,1271,3111,Oberegg,AI,POINT (2759758.315 1253158.525)
191538720,1007,1060,1274,3111,Oberegg,AI,POINT (2763628.349 1256080.196)
191538721,1007,1060,1271,3111,Oberegg,AI,POINT (2762748.839 1255528.72)
191538723,1004,1060,1271,3111,Oberegg,AI,POINT (2762055.415 1255889.845)
191538724,1007,1060,1271,3111,Oberegg,AI,POINT (2761636.253 1255439.628)
191538725,1004,1060,1271,3111,Oberegg,AI,POINT (2761665.249 1255173.273)
191538726,1004,1060,1271,3111,Oberegg,AI,POINT (2762657.324 1255446.029)
191538727,1004,1060,1274,3111,Oberegg,AI,POINT (2762199.622 1254270.594)
